timestamp,ambient_temp_C,light_lux,cap_control_pF,cap_underwater_pF,cap_overwater_pF,cap_nutrient_pF
2026-08-01 00:00:00,20.0,0.0,13.6,9.519,17.225,11.98
2026-08-01 00:15:00,20.02,0.0,13.552,9.516,15.524,11.877
2026-08-01 00:30:00,20.07,0.0,13.624,9.397,14.785,12.038
2026-08-01 00:45:00,20.15,0.0,13.71,9.485,17.242,11.931
2026-08-01 01:00:00,20.27,0.0,13.59,9.464,15.652,12.017
2026-08-01 01:15:00,20.42,0.0,13.618,9.832,16.479,12.039
2026-08-01 01:30:00,20.61,0.0,13.796,9.764,15.851,12.116
2026-08-01 01:45:00,20.83,0.0,13.77,9.84,15.447,11.969
2026-08-01 02:00:00,21.07,0.0,13.715,9.816,17.132,11.882
2026-08-01 02:15:00,21.35,0.0,13.846,9.64,17.334,12.092
2026-08-01 02:30:00,21.65,0.0,13.82,9.765,16.454,12.208
2026-08-01 02:45:00,21.99,0.0,13.88,9.943,15.104,12.195
2026-08-01 03:00:00,22.34,0.0,14.001,9.799,16.599,12.156
2026-08-01 03:15:00,22.73,0.0,13.897,10.097,17.325,12.138
2026-08-01 03:30:00,23.13,0.0,13.985,10.053,16.088,12.242
2026-08-01 03:45:00,23.56,0.0,14.155,10.11,17.328,12.162
2026-08-01 04:00:00,24.0,0.0,14.199,10.318,17.269,12.277
2026-08-01 04:15:00,24.46,0.0,14.388,10.366,17.769,12.307
2026-08-01 04:30:00,24.94,0.0,14.376,10.352,17.533,12.371
2026-08-01 04:45:00,25.43,0.0,14.424,10.62,16.856,12.504
2026-08-01 05:00:00,25.93,0.0,14.745,10.438,18.465,12.393
2026-08-01 05:15:00,26.44,0.0,14.701,10.73,17.608,12.371
2026-08-01 05:30:00,26.96,0.0,14.817,10.818,17.793,12.433
2026-08-01 05:45:00,27.48,0.0,14.792,10.8,17.253,12.361
2026-08-01 06:00:00,28.0,0.0,14.956,10.968,17.69,12.458
2026-08-01 06:15:00,28.52,3924.2,15.26,11.026,17.632,12.563
2026-08-01 06:30:00,29.04,7831.6,15.409,11.535,18.38,12.644
2026-08-01 06:45:00,29.56,11705.4,15.779,11.646,19.947,12.771
2026-08-01 07:00:00,30.07,15529.1,15.946,11.848,18.034,12.799
2026-08-01 07:15:00,30.57,19286.4,16.211,12.274,18.105,12.999
2026-08-01 07:30:00,31.06,22961.0,16.421,12.296,20.499,13.014
2026-08-01 07:45:00,31.54,26537.3,16.847,12.437,19.552,13.094
2026-08-01 08:00:00,32.0,30000.0,16.919,12.638,19.452,13.152
2026-08-01 08:15:00,32.44,33334.2,17.049,13.108,20.861,13.256
2026-08-01 08:30:00,32.87,36525.7,17.403,13.083,19.914,13.368
2026-08-01 08:45:00,33.27,39560.7,17.434,13.638,21.81,13.334
2026-08-01 09:00:00,33.66,42426.4,17.732,13.358,21.19,13.411
2026-08-01 09:15:00,34.01,45110.4,17.73,13.98,20.546,13.492
2026-08-01 09:30:00,34.35,47601.2,17.94,13.959,22.557,13.486
2026-08-01 09:45:00,34.65,49888.2,18.209,14.065,20.769,13.568
2026-08-01 10:00:00,34.93,51961.5,18.385,14.141,21.845,13.635
2026-08-01 10:15:00,35.17,53812.4,18.458,14.37,21.653,13.758
2026-08-01 10:30:00,35.39,55432.8,18.538,14.418,22.459,13.757
2026-08-01 10:45:00,35.58,56815.8,18.612,14.64,22.729,13.784
2026-08-01 11:00:00,35.73,57955.5,18.591,14.592,21.732,13.849
2026-08-01 11:15:00,35.85,58847.1,18.709,14.65,21.239,13.81
2026-08-01 11:30:00,35.93,59486.7,18.77,14.626,22.129,13.856
2026-08-01 11:45:00,35.98,59871.5,18.916,14.685,21.357,13.835
2026-08-01 12:00:00,36.0,60000.0,18.867,14.734,23.249,13.86
2026-08-01 12:15:00,35.98,59871.5,18.691,14.481,21.927,13.806
2026-08-01 12:30:00,35.93,59486.7,18.833,14.496,21.551,13.686
2026-08-01 12:45:00,35.85,58847.1,18.735,14.703,21.895,13.81
2026-08-01 13:00:00,35.73,57955.5,18.655,14.575,20.766,13.884
2026-08-01 13:15:00,35.58,56815.8,18.685,14.456,20.956,13.828
2026-08-01 13:30:00,35.39,55432.8,18.63,14.389,22.388,13.8
2026-08-01 13:45:00,35.17,53812.4,18.518,14.322,20.984,13.78
2026-08-01 14:00:00,34.93,51961.5,18.258,14.094,20.593,13.669
2026-08-01 14:15:00,34.65,49888.2,18.168,13.93,21.569,13.629
2026-08-01 14:30:00,34.35,47601.2,18.073,13.897,21.876,13.529
2026-08-01 14:45:00,34.01,45110.4,17.965,13.594,21.39,13.492
2026-08-01 15:00:00,33.66,42426.4,17.677,13.585,21.413,13.487
2026-08-01 15:15:00,33.27,39560.7,17.517,13.146,20.002,13.458
2026-08-01 15:30:00,32.87,36525.7,17.249,13.276,19.342,13.31
2026-08-01 15:45:00,32.44,33334.2,17.038,13.002,21.184,13.22
2026-08-01 16:00:00,32.0,30000.0,16.985,12.76,19.694,13.172
2026-08-01 16:15:00,31.54,26537.3,16.807,12.623,19.523,13.131
2026-08-01 16:30:00,31.06,22961.0,16.464,12.473,20.399,12.928
2026-08-01 16:45:00,30.57,19286.4,16.315,12.156,19.624,12.794
2026-08-01 17:00:00,30.07,15529.1,16.023,11.57,19.313,12.815
2026-08-01 17:15:00,29.56,11705.4,15.698,11.39,20.265,12.689
2026-08-01 17:30:00,29.04,7831.6,15.53,11.218,18.051,12.645
2026-08-01 17:45:00,28.52,3924.2,15.374,11.043,18.901,12.579
2026-08-01 18:00:00,28.0,0.0,14.997,10.848,18.04,12.473
2026-08-01 18:15:00,27.48,0.0,15.031,10.601,18.094,12.554
2026-08-01 18:30:00,26.96,0.0,14.602,10.614,18.882,12.454
2026-08-01 18:45:00,26.44,0.0,14.785,10.405,18.075,12.42
2026-08-01 19:00:00,25.93,0.0,14.634,10.327,18.004,12.407
2026-08-01 19:15:00,25.43,0.0,14.513,10.139,18.288,12.27
2026-08-01 19:30:00,24.94,0.0,14.456,10.106,17.193,12.369
2026-08-01 19:45:00,24.46,0.0,14.204,9.965,16.776,12.273
2026-08-01 20:00:00,24.0,0.0,14.262,9.924,16.549,12.288
2026-08-01 20:15:00,23.56,0.0,14.229,10.085,15.824,12.156
2026-08-01 20:30:00,23.13,0.0,14.242,9.765,18.563,12.1
2026-08-01 20:45:00,22.73,0.0,14.009,10.119,16.278,12.217
2026-08-01 21:00:00,22.34,0.0,13.917,9.791,16.827,12.166
2026-08-01 21:15:00,21.99,0.0,13.877,9.686,16.724,12.067
2026-08-01 21:30:00,21.65,0.0,13.931,9.498,17.073,12.048
2026-08-01 21:45:00,21.35,0.0,13.829,9.627,17.374,12.148
2026-08-01 22:00:00,21.07,0.0,13.711,9.422,17.355,11.992
2026-08-01 22:15:00,20.83,0.0,13.75,9.458,16.3,12.147
2026-08-01 22:30:00,20.61,0.0,13.677,9.709,16.553,11.98
2026-08-01 22:45:00,20.42,0.0,13.714,9.354,16.834,12.061
2026-08-01 23:00:00,20.27,0.0,13.553,9.473,16.435,11.993
2026-08-01 23:15:00,20.15,0.0,13.561,9.226,17.713,12.042
2026-08-01 23:30:00,20.07,0.0,13.541,9.288,16.916,11.968
2026-08-01 23:45:00,20.02,0.0,13.446,9.492,17.077,11.987
2026-08-02 00:00:00,20.0,0.0,13.584,9.199,17.024,11.998
2026-08-02 00:15:00,20.02,0.0,13.584,9.491,17.385,11.937
2026-08-02 00:30:00,20.07,0.0,13.573,9.365,16.699,12.045
2026-08-02 00:45:00,20.15,0.0,13.569,9.225,15.68,11.975
2026-08-02 01:00:00,20.27,0.0,13.496,9.387,16.889,11.999
2026-08-02 01:15:00,20.42,0.0,13.603,9.452,16.18,11.963
2026-08-02 01:30:00,20.61,0.0,13.642,9.44,16.3,11.881
2026-08-02 01:45:00,20.83,0.0,13.644,9.213,17.119,12.037
2026-08-02 02:00:00,21.07,0.0,13.74,9.356,17.62,12.208
2026-08-02 02:15:00,21.35,0.0,13.835,9.46,16.818,12.128
2026-08-02 02:30:00,21.65,0.0,14.008,9.533,17.074,12.099
2026-08-02 02:45:00,21.99,0.0,13.931,9.673,18.109,12.105
2026-08-02 03:00:00,22.34,0.0,14.002,9.681,17.15,12.145
2026-08-02 03:15:00,22.73,0.0,14.045,9.565,18.872,12.201
2026-08-02 03:30:00,23.13,0.0,13.97,9.841,17.519,12.122
2026-08-02 03:45:00,23.56,0.0,14.198,9.942,15.967,12.287
2026-08-02 04:00:00,24.0,0.0,14.285,10.013,17.807,12.291
2026-08-02 04:15:00,24.46,0.0,14.56,10.156,17.63,12.32
2026-08-02 04:30:00,24.94,0.0,14.434,10.209,18.352,12.333
2026-08-02 04:45:00,25.43,0.0,14.561,10.249,18.008,12.339
2026-08-02 05:00:00,25.93,0.0,14.625,10.273,17.53,12.41
2026-08-02 05:15:00,26.44,0.0,14.626,10.171,16.862,12.437
2026-08-02 05:30:00,26.96,0.0,14.903,10.512,17.666,12.413
2026-08-02 05:45:00,27.48,0.0,14.966,10.576,17.31,12.433
2026-08-02 06:00:00,28.0,0.0,15.063,10.675,17.594,12.506
2026-08-02 06:15:00,28.52,3924.2,15.178,10.737,18.663,12.681
2026-08-02 06:30:00,29.04,7831.6,15.613,11.008,19.67,12.601
2026-08-02 06:45:00,29.56,11705.4,15.637,11.509,19.025,12.674
2026-08-02 07:00:00,30.07,15529.1,16.041,11.62,18.157,12.858
2026-08-02 07:15:00,30.57,19286.4,16.41,11.944,19.546,12.935
2026-08-02 07:30:00,31.06,22961.0,16.39,12.097,20.307,13.025
2026-08-02 07:45:00,31.54,26537.3,16.653,12.323,19.272,13.109
2026-08-02 08:00:00,32.0,30000.0,16.928,12.651,19.826,13.159
2026-08-02 08:15:00,32.44,33334.2,17.093,12.687,20.144,13.336
2026-08-02 08:30:00,32.87,36525.7,17.214,12.962,19.788,13.222
2026-08-02 08:45:00,33.27,39560.7,17.537,13.086,20.986,13.336
2026-08-02 09:00:00,33.66,42426.4,17.63,13.27,20.631,13.444
2026-08-02 09:15:00,34.01,45110.4,17.925,13.454,21.181,13.412
2026-08-02 09:30:00,34.35,47601.2,17.973,13.674,20.425,13.556
2026-08-02 09:45:00,34.65,49888.2,18.317,13.733,20.887,13.717
2026-08-02 10:00:00,34.93,51961.5,18.263,14.071,21.831,13.665
2026-08-02 10:15:00,35.17,53812.4,18.418,13.928,21.183,13.719
2026-08-02 10:30:00,35.39,55432.8,18.613,14.114,22.757,13.666
2026-08-02 10:45:00,35.58,56815.8,18.538,14.169,21.356,13.736
2026-08-02 11:00:00,35.73,57955.5,18.727,14.466,21.866,13.776
2026-08-02 11:15:00,35.85,58847.1,18.871,14.37,22.419,13.799
2026-08-02 11:30:00,35.93,59486.7,18.679,14.508,20.814,13.909
2026-08-02 11:45:00,35.98,59871.5,18.847,14.227,20.599,13.875
2026-08-02 12:00:00,36.0,60000.0,18.861,14.443,20.772,13.777
2026-08-02 12:15:00,35.98,59871.5,18.894,14.506,22.716,13.856
2026-08-02 12:30:00,35.93,59486.7,18.708,14.382,21.421,13.862
2026-08-02 12:45:00,35.85,58847.1,18.661,14.456,23.557,13.887
2026-08-02 13:00:00,35.73,57955.5,18.751,14.206,21.314,13.893
2026-08-02 13:15:00,35.58,56815.8,18.66,14.361,21.765,13.712
2026-08-02 13:30:00,35.39,55432.8,18.568,14.376,22.627,13.693
2026-08-02 13:45:00,35.17,53812.4,18.472,13.95,22.848,13.63
2026-08-02 14:00:00,34.93,51961.5,18.271,13.819,22.769,13.65
2026-08-02 14:15:00,34.65,49888.2,18.211,13.911,22.039,13.645
2026-08-02 14:30:00,34.35,47601.2,18.07,13.777,21.763,13.626
2026-08-02 14:45:00,34.01,45110.4,17.83,13.362,21.302,13.506
2026-08-02 15:00:00,33.66,42426.4,17.865,13.2,21.26,13.431
2026-08-02 15:15:00,33.27,39560.7,17.57,13.03,20.146,13.395
2026-08-02 15:30:00,32.87,36525.7,17.242,12.705,19.765,13.268
2026-08-02 15:45:00,32.44,33334.2,17.186,12.549,20.131,13.372
2026-08-02 16:00:00,32.0,30000.0,16.842,12.323,19.801,13.076
2026-08-02 16:15:00,31.54,26537.3,16.761,12.126,19.381,13.106
2026-08-02 16:30:00,31.06,22961.0,16.562,11.982,19.957,13.136
2026-08-02 16:45:00,30.57,19286.4,16.169,11.777,19.903,12.932
2026-08-02 17:00:00,30.07,15529.1,16.071,11.691,19.056,12.836
2026-08-02 17:15:00,29.56,11705.4,15.782,11.138,19.783,12.741
2026-08-02 17:30:00,29.04,7831.6,15.567,11.125,17.702,12.665
2026-08-02 17:45:00,28.52,3924.2,15.403,10.728,18.116,12.67
2026-08-02 18:00:00,28.0,0.0,14.98,10.493,17.498,12.367
2026-08-02 18:15:00,27.48,0.0,14.846,10.483,16.599,12.559
2026-08-02 18:30:00,26.96,0.0,14.741,10.171,17.754,12.349
2026-08-02 18:45:00,26.44,0.0,14.654,10.255,17.634,12.386
2026-08-02 19:00:00,25.93,0.0,14.621,10.135,18.687,12.344
2026-08-02 19:15:00,25.43,0.0,14.564,10.081,17.979,12.373
2026-08-02 19:30:00,24.94,0.0,14.471,9.965,16.732,12.211
2026-08-02 19:45:00,24.46,0.0,14.429,10.136,18.661,12.305
2026-08-02 20:00:00,24.0,0.0,14.281,9.679,18.135,12.369
2026-08-02 20:15:00,23.56,0.0,14.316,9.609,17.607,12.138
2026-08-02 20:30:00,23.13,0.0,14.102,9.518,16.965,12.205
2026-08-02 20:45:00,22.73,0.0,14.268,9.45,16.379,12.128
2026-08-02 21:00:00,22.34,0.0,14.032,9.369,16.721,12.169
2026-08-02 21:15:00,21.99,0.0,13.849,9.521,17.679,12.122
2026-08-02 21:30:00,21.65,0.0,13.772,9.486,18.177,12.062
2026-08-02 21:45:00,21.35,0.0,13.841,9.189,17.883,12.11
2026-08-02 22:00:00,21.07,0.0,13.735,9.105,16.411,12.172
2026-08-02 22:15:00,20.83,0.0,13.766,9.214,15.925,12.037
2026-08-02 22:30:00,20.61,0.0,13.707,9.049,16.768,12.078
2026-08-02 22:45:00,20.42,0.0,13.631,9.155,15.399,11.945
2026-08-02 23:00:00,20.27,0.0,13.541,9.073,16.835,11.956
2026-08-02 23:15:00,20.15,0.0,13.466,8.842,16.484,12.034
